"id","ride_id","type","data","created_at","updated_at","deleted_at"
116231958,21709796,"RIDECOORDS","22.3685778,91.8378721","2018-06-24 14:03:46","2018-06-24 14:03:46",NULL
116234179,21709796,"RIDECOORDS","22.3685072,91.8381568","2018-06-24 14:03:53","2018-06-24 14:03:53",NULL
116234220,21709796,"RIDECOORDS","22.3684494,91.8383512","2018-06-24 14:03:53","2018-06-24 14:03:53",NULL
116236896,21709796,"RIDECOORDS","22.368382,91.8385842","2018-06-24 14:04:02","2018-06-24 14:04:02",NULL
116236930,21709796,"RIDECOORDS","22.368382,91.8385842","2018-06-24 14:04:02","2018-06-24 14:04:02",NULL
116237052,21709796,"RIDECOORDS","22.3683359,91.8388125","2018-06-24 14:04:02","2018-06-24 14:04:02",NULL
116237713,21709796,"RIDECOORDS","22.3682954,91.8389819","2018-06-24 14:04:05","2018-06-24 14:04:05",NULL
116240252,21709796,"RIDECOORDS","22.3682391,91.839241","2018-06-24 14:04:12","2018-06-24 14:04:12",NULL
116240317,21709796,"RIDECOORDS","22.3682391,91.839241","2018-06-24 14:04:13","2018-06-24 14:04:13",NULL
116240566,21709796,"RIDECOORDS","22.3681795,91.8395202","2018-06-24 14:04:13","2018-06-24 14:04:13",NULL
116241451,21709796,"RIDECOORDS","22.3681146,91.839791","2018-06-24 14:04:16","2018-06-24 14:04:16",NULL
116242833,21709796,"RIDECOORDS","22.3680695,91.8400089","2018-06-24 14:04:20","2018-06-24 14:04:20",NULL
116244034,21709796,"RIDECOORDS","22.3680501,91.8401758","2018-06-24 14:04:24","2018-06-24 14:04:24",NULL
116244708,21709796,"RIDECOORDS","22.3680336,91.8403675","2018-06-24 14:04:26","2018-06-24 14:04:26",NULL
116246011,21709796,"RIDECOORDS","22.3680078,91.8406645","2018-06-24 14:04:30","2018-06-24 14:04:30",NULL
116249667,21709796,"RIDECOORDS","22.3679673,91.8409965","2018-06-24 14:04:41","2018-06-24 14:04:41",NULL
116251827,21709796,"RIDECOORDS","22.3679354,91.8412629","2018-06-24 14:04:48","2018-06-24 14:04:48",NULL
116251847,21709796,"RIDECOORDS","22.3679203,91.842016","2018-06-24 14:04:48","2018-06-24 14:04:48",NULL
116252273,21709796,"RIDECOORDS","22.3679108,91.8416415","2018-06-24 14:04:49","2018-06-24 14:04:49",NULL
116252352,21709796,"RIDECOORDS","22.3679674,91.8424038","2018-06-24 14:04:50","2018-06-24 14:04:50",NULL
116260093,21709796,"RIDECOORDS","22.3680332,91.8427967","2018-06-24 14:05:14","2018-06-24 14:05:14",NULL
116260245,21709796,"RIDECOORDS","22.3680332,91.8427967","2018-06-24 14:05:14","2018-06-24 14:05:14",NULL
116260322,21709796,"RIDECOORDS","22.3680332,91.8427967","2018-06-24 14:05:14","2018-06-24 14:05:14",NULL
116261649,21709796,"RIDECOORDS","22.3680332,91.8427967","2018-06-24 14:05:18","2018-06-24 14:05:18",NULL
116262133,21709796,"RIDECOORDS","22.3681874,91.8433926","2018-06-24 14:05:20","2018-06-24 14:05:20",NULL
116262434,21709796,"RIDECOORDS","22.3684427,91.8442142","2018-06-24 14:05:21","2018-06-24 14:05:21",NULL
116262574,21709796,"RIDECOORDS","22.3681053,91.8430987","2018-06-24 14:05:21","2018-06-24 14:05:21",NULL
116262577,21709796,"RIDECOORDS","22.3683154,91.8437598","2018-06-24 14:05:21","2018-06-24 14:05:21",NULL
116262578,21709796,"RIDECOORDS","22.3683888,91.8439996","2018-06-24 14:05:21","2018-06-24 14:05:21",NULL
116262637,21709796,"RIDECOORDS","22.3684618,91.8443215","2018-06-24 14:05:21","2018-06-24 14:05:21",NULL
116262754,21709796,"RIDECOORDS","22.3685202,91.8447045","2018-06-24 14:05:22","2018-06-24 14:05:22",NULL
116262778,21709796,"RIDECOORDS","22.3684885,91.844521","2018-06-24 14:05:22","2018-06-24 14:05:22",NULL
116263634,21709796,"RIDECOORDS","22.368552,91.8450047","2018-06-24 14:05:24","2018-06-24 14:05:24",NULL
116264910,21709796,"RIDECOORDS","22.3685931,91.8453464","2018-06-24 14:05:28","2018-06-24 14:05:28",NULL
116265884,21709796,"RIDECOORDS","22.368631,91.8455948","2018-06-24 14:05:31","2018-06-24 14:05:31",NULL
116268199,21709796,"RIDECOORDS","22.3686732,91.8459322","2018-06-24 14:05:38","2018-06-24 14:05:38",NULL
116268493,21709796,"RIDECOORDS","22.3687217,91.8462895","2018-06-24 14:05:39","2018-06-24 14:05:39",NULL
116271668,21709796,"RIDECOORDS","22.3687507,91.8465749","2018-06-24 14:05:50","2018-06-24 14:05:50",NULL
116271765,21709796,"RIDECOORDS","22.3687507,91.8465749","2018-06-24 14:05:50","2018-06-24 14:05:50",NULL
116271862,21709796,"RIDECOORDS","22.3687507,91.8465749","2018-06-24 14:05:50","2018-06-24 14:05:50",NULL
116271947,21709796,"RIDECOORDS","22.368754,91.8468583","2018-06-24 14:05:50","2018-06-24 14:05:50",NULL
116271951,21709796,"RIDECOORDS","22.3687038,91.8472256","2018-06-24 14:05:50","2018-06-24 14:05:50",NULL
116272479,21709796,"RIDECOORDS","22.3686317,91.847477","2018-06-24 14:05:52","2018-06-24 14:05:52",NULL
116274401,21709796,"RIDECOORDS","22.3685015,91.8478031","2018-06-24 14:05:58","2018-06-24 14:05:58",NULL
116274613,21709796,"RIDECOORDS","22.3683698,91.8480517","2018-06-24 14:05:59","2018-06-24 14:05:59",NULL
116276566,21709796,"RIDECOORDS","22.368155,91.8483445","2018-06-24 14:06:05","2018-06-24 14:06:05",NULL
116277875,21709796,"RIDECOORDS","22.3679165,91.8485749","2018-06-24 14:06:10","2018-06-24 14:06:10",NULL
116278476,21709796,"RIDECOORDS","22.3679165,91.8485749","2018-06-24 14:06:11","2018-06-24 14:06:11",NULL
116278618,21709796,"RIDECOORDS","22.3677231,91.8486986","2018-06-24 14:06:12","2018-06-24 14:06:12",NULL
116279385,21709796,"RIDECOORDS","22.367423,91.848867","2018-06-24 14:06:14","2018-06-24 14:06:14",NULL
116285995,21709796,"RIDECOORDS","22.3670924,91.8490246","2018-06-24 14:06:35","2018-06-24 14:06:35",NULL
116286244,21709796,"RIDECOORDS","22.3668251,91.849131","2018-06-24 14:06:36","2018-06-24 14:06:36",NULL
116286299,21709796,"RIDECOORDS","22.3655607,91.8497399","2018-06-24 14:06:36","2018-06-24 14:06:36",NULL
116286350,21709796,"RIDECOORDS","22.3658989,91.8495511","2018-06-24 14:06:37","2018-06-24 14:06:37",NULL
116286354,21709796,"RIDECOORDS","22.3661643,91.849426","2018-06-24 14:06:37","2018-06-24 14:06:37",NULL
116286367,21709796,"RIDECOORDS","22.3664527,91.8493051","2018-06-24 14:06:37","2018-06-24 14:06:37",NULL
116286941,21709796,"RIDECOORDS","22.3653449,91.8498888","2018-06-24 14:06:38","2018-06-24 14:06:38",NULL
116288750,21709796,"RIDECOORDS","22.3650821,91.8501921","2018-06-24 14:06:44","2018-06-24 14:06:44",NULL
